Article.Title,Answer.3,Braille.Learning.Tools,Assistive.Technologies,Tactile.and.3D.Models,Audio.and.Speech.Tools,Educational.Resources,Health.and.Oral.Hygiene,ICT.and.Software.Solutions
Unleashing the most effective oral health education intervention technique for improving the oral hygiene status and oral health knowledge in visually impaired young individuals: A systematic review and meta-analysis,Oral health education techniques,0,0,0,1,1,1,0
Effectiveness of oral health education program using braille text in a group of visually impaired children-before and after comparison trial,Braille text for oral health education,0,1,0,0,1,1,0
A tactile graphic book with Braille and audio use improved plaque score and toothbrushing performance in visually impaired individuals,"Tactile graphic books, Braille, audio file",1,1,1,1,1,0,0
Oral hygiene education of special needs children. Part 2: visually impaired children,"Braille instructions, magnified tooth models, music CD",1,1,1,1,1,1,0
Enhancing Education and Interaction for the Visually Impaired Using Deep Learning and IoT,"Deep learning, IoT, wearable device, web app, Android app",0,1,0,0,0,0,1
Learning at Your Fingertips: An Innovative IoT-Based AI-Powered Braille Learning System,IoT-based AI-powered braille learning system,1,1,0,0,1,0,1
A Survey on the Usage of Pattern Recognition and Image Analysis Methods for the Lifestyle Improvement on Low Vision and Visually Impaired People,Pattern recognition and image analysis methods,0,1,0,0,0,0,1
EFL Education for the Visually Impaired in Japan: Data from Five Interviews,Braille for equity and access,1,1,0,0,1,0,0
Tactile Sun: Bringing an Invisible Universe to the Visually Impaired,Tactile model of the Sun,0,1,1,0,1,0,0
Optical Sinhala Braille Documents Convertion Methodology for Sinhala Language,Converting Sinhala Braille to readable Sinhala text,0,1,0,0,0,0,1
Efficacy of a Modified Audio-Tactile Performance Technique with Braille (Atpb) on the Oral Hygiene Status of Visually-Impaired Children,Modified audio-tactile performance with braille,1,1,0,1,0,0,0
Factors affecting the reading media used by visually impaired adults,Reading media for visually impaired adults,1,1,0,1,0,0,1
Exploring constant speed with a visually impaired student by using a smartphone,"Smartphone app, Braille printer, Braille Spotdot embosser",1,1,0,0,0,0,1
Optical Braille Blocks for Visually Impaired Elementary Education,Braille blocks with IR tags,1,1,1,0,1,0,0
An Education Portal for Visually Impaired,Distance education portal for visually impaired,0,1,0,1,1,0,1
Distance learning of graphically intensive material for visually impaired students,Audio Haptics for visually impaired training,0,1,0,1,1,0,0
Perception of Complete Visually Impaired Children to Three Different Oral Health Education Methods: A Preliminary Study,Oral health education methods,0,0,0,1,1,1,1
A comparative evaluation of oral hygiene using Braille and audio instructions among institutionalized visually impaired children aged between 6 years and 20 years: A 3-monthfollow-up study,Braille and audio instructions,0,1,0,1,0,0,0
Detection of Touchscreen-Based Urdu Braille Characters Using Machine Learning Techniques,Touchscreen-based Urdu Braille text entry application,0,1,0,0,0,0,1
How Learning Styles in CS can Foster Inclusion of Visually Impaired Students,Kinesthetic and textual material,1,0,1,0,1,0,0
A COMPUTER-BASED PROGRAM TO TEACH BRAILLE READING TO SIGHTED INDIVIDUALS,Computer-based braille reading program,1,1,0,0,1,0,1
Supporting the learning process - more than a Braille transcription,Automatic Braille transcribing tool,0,1,0,0,0,0,1
Teaching human anatomy to the visually impaired: A systematic review,"Tactile materials, Braille, cadaveric pieces",1,1,1,0,0,1,0
Filipino Braille One-Cell Contractions Recognition Using Machine Vision,Machine vision for Braille recognition,0,1,0,0,0,0,1
New Vision for Improving the Oral Health Education of Visually Impaired Children-A Non Randomized Control Trial,"Music-based brushing, Braille materials",1,1,0,1,1,1,0
Characterization of English Braille Patterns Using Automated Tools and RICA Based Feature Extraction Methods,Braille pattern identification system,0,1,0,0,1,0,1
A systematic review of oral health educational media innovation for visually impaired children: Which one brings the best impact of change?,Oral health education media,0,0,0,1,1,1,1
A pilot study for ?²barrier-free??Korean language education - The development of the King Sejong Institute Foundation?²s Korean Language for the Visually Impaired Beginning textbook-,Braille and audio-centered textbooks,1,1,0,1,1,0,0
The role of adaptations and braille transcriptions in the context of teaching chemistry: socio-statistical survey of the pedagogical support center for the visually impaired in the state of Amapa,"Braille transcriptions, adapted teaching material",1,1,0,0,1,0,0
Assessment of Oral Health Educational Program on oral health status of visually impaired children in New Delhi,"Audio aid, Braille booklet, individualized training",1,1,0,1,1,0,0
A Proposal for a Novel e-Learning System for the Visually Impaired,Touch screen application,0,1,0,0,1,0,1
Biblus - A Digital Library to Support Integration of Visually Impaired in Mainstream Education,Digital library for educational material,0,0,0,0,1,0,1
Academic Challenges of Blind Students and Their Mitigation Strategies Research-in-Progress,Technology for BVI students,0,1,1,1,1,0,1
The Utilization of Oral Hygiene Instructions using Braille Method on Visually Impaired School Children,Braille oral hygiene instructions,0,1,0,0,1,1,0
A Mobile Application for Braille to Black Conversion,Braille to printed text conversion,0,1,0,0,0,0,1
Effectiveness of a novel oral health education technique in maintenance of gingival health and plaque removal efficacy among institutionalized visually impaired children of Bhubaneswar city: A randomized controlled trial,Audio Tactile Performance (ATP) technique,0,1,0,1,0,0,0
"'They are visually impaired, not blind ... teach them!': Grade R in-service teachers' knowledge of teaching pre-reading skills to visually impaired learners",Braille,1,1,0,0,1,0,0
"Assistive technology-based solutions in learning mathematics for visually-impaired people: exploring issues, challenges and opportunities","Audio feedback, tactile displays, digital textbooks",0,1,0,1,1,0,0
Optical Braille Recognition Platform for Sinhala,Optical Braille Recognition for Sinhala,0,1,0,0,0,0,1
INNOVATION OF BRAILLE CORNER DIGITAL LEARNING BASED ON LEARNING FOR THE STUDENTS WITH VISUAL IMPAIRMENT IN INCLUSION SETTINGS,Digital literacy-based braille corner,1,1,0,0,1,0,1
"Perceptions of schooling, pedagogy and notation in the lives of visually-impaired musicians","Braille, accessible technologies, score media",1,1,0,0,0,0,1
Voice recognition browser for the visually impaired learners (Mg Sys VISI),Voice recognition browser,0,1,0,1,0,0,1
Improving Braille-Chinese translation with jointly trained and pre-trained language models,Braille-Chinese translation,0,1,0,0,1,0,1
Use of Assistive Technology for Teaching-Learning and Administrative Processes for the Visually Impaired People,Assistive technology for teaching-learning and administrative processes,0,1,0,0,0,0,1
Extending Tangible Interactive Interfaces for Education: A System for Learning Arabic Braille using an Interactive Braille Keypad,Interactive tactile Braille keypad,1,1,0,0,1,0,0
Comprehensive Adult Student Assessment Systems Braille Reading Assessment: An Exploratory Study,Braille reading test,1,1,0,0,1,0,0
The Visually Impaired and Distance Education,Changes in Moodle for visually impaired,0,1,0,1,0,0,1
The Design and Preliminary Evaluation of a Sliding Contact Braille Display for Early Learning,Sliding contact braille display,0,1,0,0,0,0,0
The Design and Preliminary Evaluation of a Sliding Contact Braille Display for Early Learning,Sliding contact braille display,0,1,0,0,0,0,0
The Challenge of Assistive Technology (AT) for the Needs of Visually Impaired (VIP) Learners in English Vocabulary Learning,Multi-sensory material with touch and sound,0,1,1,1,1,0,0
Tools for education: What PRINT means for you,Inkjet printer for braille and tactile graphics,0,1,1,0,0,0,0
Effect of oral health education and fluoridated dentifrices on the oral health status of visually impaired children,Braille and Modified Bass method,0,0,0,0,0,1,0
Blind and Visually Impaired Students Can Perform Computer-Aided Molecular Design with an Assistive Molecular Fabricator,Assistive Molecular Fabricator for BVI students,0,1,1,0,1,0,0
Using low-cost 3D-printed models of prenatal ultrasonography for visually-impaired expectant persons,3D-printed models of prenatal ultrasonography,0,1,1,0,1,0,0
Braille Tutor A Gift for the Blind,Braille tutor with Bluetooth connectivity,1,1,0,0,1,0,1
Copyright and www.braillemusic.eu on line music service,Braille music repository,0,1,0,0,1,0,1
Effect of specially designed oral health preventive programme on oral health of visually impaired children: use of audio and tactile aids,Audio and tactile aids,0,1,1,1,0,0,0
Map Learning with a 3D Printed Interactive Small-Scale Model: Improvement of Space and Text Memorization in Visually Impaired Students,3D printed interactive small-scale models,0,1,1,0,1,0,0
SensorApp: the light at the end of the tunnel for visually impaired learners,Mobile app using motion sensors and text-to-speech,0,1,0,1,0,0,1
A music- and game-based oral health education for visually impaired school children; multilevel analysis of a cluster randomized controlled trial,Audio Tactile Performance (ATP) technique,0,1,0,1,0,0,0
Technology advances and standardization toward accessible business graphics,Accessible business graphics for the visually impaired,0,1,1,0,0,0,1
A Multilingual Handwriting Learning System for Visually Impaired People,Multilingual handwriting learning system with voice-over guidance,0,1,0,1,1,0,1
MathInBraille Online Converter,Online portal for converting math to Braille/audio,0,1,0,1,0,0,1
Making Programming Education More Accessible for Visually Impaired,Voice-based control system,0,1,0,1,0,0,1
Braille Teaching Electronic Prototype,Electronic device for Braille learning,1,1,0,0,1,0,1
Nectar: Multi-user Spatial Augmented Reality for everyone. Three live demonstrations of educative applications.,Augmented raised-line maps with audio output,0,1,1,1,1,0,0
Ergonomic Aspects in the Redesign of a Child's Inclusive Textbook,Braille mathematics textbook,1,1,0,0,1,0,0
An Automatic Speech Recognition System for Helping Visually Impaired Children to Learn Braille,Automatic speech recognition for learning Braille,1,1,0,1,1,0,1
Deriving Accessible Science Books for the Blind Students of Physics,Accessible physics and science books,0,0,1,1,1,0,0
The VODIE project: An extensive educational opportunity for vocational training of visually impaired individuals,Accessible LMS and video conference system,0,1,0,1,1,0,1
"Visually impaired musicians' insights: narratives of childhood, lifelong learning and musical participation",Notation in Braille or adapted print,1,1,0,0,1,0,0
A smart learning assistance tool for inclusive education,Smart Learning Assistance tool using AI,0,1,0,0,1,0,1
Smart-system of distance learning of visually impaired people based on approaches of artificial intelligence,Smart-system for distance learning,0,1,0,1,1,0,1
The Benetech Math Editor: An Inclusive Multistep Math Editor for Solving Problems,Math problem-solving editor,0,1,0,0,1,0,1
"Computer for persons with visually impairment: A door to education, information and employment","ICT, software, hardware, accessories",0,1,0,0,0,0,1
TEACHING RUSSIAN AS A FOREIGN LANGUAGE TO CZECH STUDENTS WITH VISUAL IMPAIRMENTS IN THE CONTEXT OF INCLUSIVE EDUCATION,Computer and Braille display,0,1,0,0,0,0,1
The Role of ICTs in the Provision of Engineering Education to Visually Impaired Learners in South Africa,ICT tools for engineering education,0,0,0,0,1,0,1
Teaching-learning resources and supports in the music classroom: Key aspects for the inclusion of visually impaired students,"Braille music system, specialist support, tools",1,1,0,0,1,0,0
Improving accessibility to mathematical formulas: the Wikipedia Math Accessor,Natural language descriptions of math formulas,0,1,0,0,1,0,1
A machine vision system applied to the teaching of mathematics for blind or visually impaired children,Machine vision for Braille math operations,0,1,0,0,1,0,1
Visually Impaired Users' Access to Online Academic Result in Nigerian Higher Education Institutions: An Exploratory Design Needs Study,Accessible result-checking system,0,1,0,0,0,0,1
The Haptic Video Player: Using Mobile Robots to Create Tangible Video Annotations,Audio-haptic content from videos,0,1,0,1,0,0,0
GUIDL as an Aiding Technology in Programming Education of Visually Impaired,GUIDL system for aiding programming education,0,1,0,0,1,0,1
"PERCEPTION AND USE OF COMPUTER AND MOBILE PHONES TECHNOLOGIES AMONG VISUALLY IMPAIRED RESIDENTS OF LAGOS STATE, NIGERIA",Computer and mobile phone technologies,0,1,0,0,0,0,1
Visualizations and pictures for the visually impaired and its connection to STEM education,3D printable visualizations,0,1,1,0,1,0,0
Caring for Visually Impaired Patients in the Hospital: A Multidisciplinary Quality Improvement Project,"Educational resources, VIP toolbox, braille menu",0,1,0,0,1,0,0
Disabled services in Turkish university libraries: Istanbul University Central Library: The project of Information Center for (dis)abilities,"Screen readers, Braille printers, reading machines",0,1,0,1,0,0,0
Evaluation of science and mathematics books used for students with visual impairment in inclusive classrooms in Tanzania,Adapted science and mathematics books,0,0,1,0,1,0,0
Design and Implementation of On-line Answering System for Visually Impaired College Students,Online answering system,0,1,0,0,0,0,1
Visually impaired students' views on peer tutoring in integrated physical education,Trained peer tutoring,0,0,0,0,1,0,0
A Daisy schoolbooks adapter for visually impaired pupils,Daisy schoolbooks adapter,0,1,0,1,1,0,1
Basic survey on children and teachers in special classes for children with low vision in Japan,"ICT devices, enlarged textbooks, low-vision devices",0,1,0,0,1,0,1
Accessible Data Visualization in Higher Education,Data visualization technologies,0,1,0,0,1,0,1
New dots Downunder: The implementation of Unified English Braille (UEB) in Australian schools,Unified English Braille (UEB),0,1,0,0,1,0,0
Tactile-Color System for Accessibility of Color Education: 2.5D UV Printed Supplementary Material for Visually Impaired Students,Tactile symbols and texture for color theory,0,1,1,0,1,0,0
EDUCATIONAL CHALLENGES OF IRANIAN STUDENTS WITH VISUAL LIMITATIONS FOR LEARNING ENGLISH AS A FOREIGN LANGUAGE,"Adaptation of instructional materials, Braille knowledge",1,0,0,0,1,0,0
ARET - Automatic Reading of Educational Texts for Visually Impaired Students,Automatic reading of educational texts,0,1,0,1,1,0,1
Development of a new technique (ATP) for training visually impaired children in oral hygiene maintenance,Audio tactile performance technique,0,1,0,1,0,0,0
IOT enabled Book Publishing Platform,IoT enabled handheld reader device,0,1,0,0,0,0,1
Factors that affect the provision of Visually Impaired Learners in Higher Education,"Assistive resources, ICTs, teaching methodologies",0,1,0,0,1,0,1
Accessibility assistance for visually-impaired people in digital texts,Effective colour contrast and legible text,0,1,0,0,1,0,1
"TeoDeVi, a response for low vision re-education",Remote training exercises for low vision re-education,0,1,0,0,1,0,1
Challenges with creating accessible and usable learning environments for visually impaired students' language education,"Assistive technologies, accessible teaching materials",0,1,0,0,1,0,1
StoryBlocks: A Tangible Programming Game to Create Accessible Audio Stories,Tangible block-based game for audio stories,0,0,1,1,1,0,0
SPECIALIZED EDUCATIONAL CARE INVOLVING STUDENTS WITH VISUAL IMPAIRMENT IN PHYSICAL SCHOOL EDUCATION,Specialized Educational Care (ESC),0,1,0,0,1,0,1
Teaching Enzyme Activity to the Visual Impaired and Blind Students,Experiments and tactile graphs,0,1,1,0,1,0,0
A focus group study of accessibility and related psychosocial issues in diabetes education for people with visual impairment,Nonvisual diabetes self-management equipment,0,1,0,0,0,0,0
Robots for Inclusive Play: Co-designing an Educational Game With Visually Impaired and Sighted Children,Robot-based educational game,0,1,0,0,1,0,1
Enhancing the Academic Achievement of Disabled Students in Greek Universities through Accessible Technology Services,"Braille, screen readers, magnifiers, e-manuscripts",0,1,0,0,0,0,1
Transnational support to visually impaired in scientific university courses,Access to scientific documentation and software,0,1,0,0,1,0,1
Haptic Models of Arrays Through 3D Printing for Computer Science Education,3D printed haptic models,0,1,1,0,1,0,0
Braille use among Norwegian children from 1967 to 2007: trends in the underlying causes,Braille education,1,1,0,0,1,0,0
Accessibility in astronomy for the visually impaired,Innovative data analysis methods,0,1,0,0,0,0,1
Tangible Music Programming Blocks for Visually Impaired Children,Tangible music programming blocks,0,1,1,0,1,0,1
Experiences of Visually Impaired and Blind Students in UK Higher Education: An Exploration of Access and Participation,"Disabled Student's Allowance, student living",0,1,0,0,1,0,1
Facing the challenges of the inclusion of visually impaired students: Music teacher's perceptions,Inclusive resources for visually impaired students,1,1,1,1,1,0,1
Design of an electronic prototype to teach braille,Electronic device to teach Braille,1,1,0,0,1,0,0
Usefulness of specialized information and communication tools in mathematics education of visually impaired students - the results of teachers' opinion survey,Specialized ICT tools,0,1,0,0,0,0,1
Orientation and Mobility Training in Special Education Curriculum for Social Adjustment Problems of Visually Impaired Children in Pakistan,Orientation and mobility training,0,1,0,0,1,0,0
CASVI: A Computer Algebra System Aimed at Visually Impaired People,CAS for visually impaired people,0,1,0,1,0,0,1
Be Active! Participatory Design of Accessible Movement-Based Games,Design toolkit for movement-based games,0,1,0,0,0,0,1
Document Image Classification: Towards Assisting Visually Impaired,Document image classification for BVI students,0,1,0,0,0,0,1
STEAM education in preschool education: We design our school for our visually impaired friend,"Tactile paths, Bee-Bot coding",0,1,1,0,1,0,1
SCIENCE EDUCATION FOR BLIND AND VISUALLY IMPAIRED CHILDREN,Adaptive educational approaches and tools,0,1,0,0,1,0,1
3D Interaction Accessible to Visually Impaired Users: A Systematic Review,3D interaction for visually impaired,0,1,1,1,0,0,0
Design and Implementation of an Assisted Body Movement System for Visually Impaired Children,Body movement assistance device,0,1,0,0,0,0,0
Visual impairment in the mirrow of time,"Blindman's stick, guide dog, monitors, mobile apps",0,1,0,0,0,0,1
Screen navigation system for visually impaired people,Compass-based screen navigation for BVI users,0,1,0,0,0,0,1
Accessibility of Educational Edmodo Social Platform from the perspective of visually impaired,Accessibility of Edmodo for visually impaired,0,1,0,1,0,0,1
Braille literacy as a human right: A challenge to the inefficiency argument against braille instruction,Braille instruction,1,1,0,0,1,0,0
Breaking through Barriers: A Systematic Review of Extended Reality in Education for the Visually Impaired,Extended Reality,0,1,0,0,1,0,1
3D printing assisted in art education: Study on the Effectiveness of Visually Impaired Students in Space Learning,3D printing for tactile art appreciation,0,1,1,0,0,0,0
